香港,#genre#
翡翠台,p3p://167.114.175.6:55331/66c04cec000a20ac2dbf03c71cf661c9$p3p 167
翡翠台,p3p://167.114.175.6:55331/653e4c02000ea0440c8c63fd3e5d709d$p3p 167 H.265
翡翠台,p3p://173.208.176.178:31809/653e4c02000ea0440c8c63fd3e5d709d$$p3p 173『H.265』
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8$AKTV
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct$jdshipin『線路1』
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn$jdshipin『線路2』
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3$jdshipin『線路3』
翡翠台,http://v2h.jdshipin.com/jade2/jade.stream/chunklist_w100.m3u8$jdshipin『線路4』
翡翠台,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
翡翠台,http://58.250.155.2:8180/TV00000000000000000032@HHZT$http 58
翡翠台,p3p://108.181.32.169:19673/6533f6560002787f2d01338b57197695$p3p 108
翡翠台,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah005-golive.flv$golive
TVB無線華麗,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbjade$cdn9.1689
TVB無線華麗,http://php.jdshipin.com/TVOD/iptv.php?id=huali$jdshipin『華麗』
TVB Plus,p3p://167.114.175.6:55331/6649bce20008d56453eeebfc022701f1$p3p 167
TVB Plus,p3p://167.114.175.6:55331/653e4d3e000b344f0c91357e73163f82$p3p 167『H.265』
TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8$AKTV
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2$jdshipin
TVB Plus,p3p://173.208.176.178:31809/653e4d3e000b344f0c91357e73163f82$p3p 173『H.265』
TVB Plus,p3p://173.208.176.178:31809/653e4cda0007743f0c8fade86d132b26$p3p 173『線路1』
TVB Plus,p3p://173.208.176.178:31809/6649bce20008d56453eeebfc022701f1$p3p 173『線路2』
TVB Plus,p3p://173.208.176.178:31809/5ffbee4900066c0ddf0b8b84423c06f3$p3p 173『線路3』
TVB Plus,p3p://173.208.176.178:31809/611d989d0005244a4a7f24d111282ffb$p3p 173『線路4』
TVB Plus,p3p://108.181.32.169:42218/641021800006a527985cd1244315142d$p3p 108『線路1』
TVB Plus,p3p://108.181.32.169:32379/641021800006a527985cd1244315142d$p3p 108『線路2』
TVB Plus,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah007-golive.flv$golive
ViuTV,p3p://167.114.175.6:55331/611d99820007a67c4a82a3fe3cc749de$p3p 167
ViuTV,p3p://167.114.175.6:55331/5fed3234000c7a49a57dbd6e14af358f$p3p 167『H.265』
ViuTV,http://aktv.top/AKTV/live/aktv2/viutv99/AKTV.m3u8$AKTV
ViuTV,p3p://173.208.176.178:31809/611d99820007a67c4a82a3fe3cc749de$p3p 173
ViuTV,p3p://173.208.176.178:31809/5fed3234000c7a49a57dbd6e14af358f$p3p『H.265』
ViuTV 剧集,p3p://167.114.175.6:55331/63ed3e1500077d30e7f449055a0846ce$p3p 167
ViuTV 剧集,http://php.jdshipin.com:8880/TVOD/iptv.php?id=viutv$jdshipin『線路1』
ViuTV 剧集,http://php.jdshipin.com/TVOD/iptv.php?id=viutv$jdshipin『線路2』
HOY TV,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hoytv$jdshipin『線路1』
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv$jdshipin『線路2』
TVB星河,p3p://167.114.175.6:55331/5fdee23d000b670a6d96428e4c334643$p3p 167
TVB星河,http://cdn9.1689.us.kg/smt1.1.php?id=Xinhe$cdn9.1689
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe$jdshipin
TVB星河,p3p://173.208.176.178:31809/5fdee23d000b670a6d96428e4c334643$p3p 173
TVB星河,p3p://108.181.32.169:42218/641021c50003c5af985dddf037af353c$p3p 108『線路1』
TVB星河,p3p://108.181.32.169:32379/641021c50003c5af985dddf037af353c$p3p 108『線路2』
ASTRO星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe$jdshipin『線路1』
ASTRO星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe$jdshipin『線路2』
ASTRO星河,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist_w106.m3u8$jdshipin『線路3』
TVB娛樂新聞台,http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8
TVB娛樂新聞台,p3p://167.114.175.6:55331/5fe7f68d000e73d9910d2a86341258f7
TVB娛樂新聞台,p3p://108.181.32.169:42218/64102219000c6f74985f28485a5a5799
NOW爆谷,p3p://167.114.175.6:55331/65bf60df000777a004c3831b56247b8e$p3p 167『線路1』
NOW爆谷,p3p://167.114.175.6:55331/65423beb00082fd01bed887e0ae23bbf$p3p 167『線路2』
NOW爆谷,p3p://173.208.176.178:31809/657db17a000c6768042fc38047b34ee4$p3p 173『線路1』
NOW爆谷,p3p://173.208.176.178:31809/65423beb00082fd01bed887e0ae23bbf$p3p 173『線路2』
Now爆谷,p3p://108.181.32.169:32379/641af90c000328bac2b691f11db2274a$p3p 108
翡翠台4K,http://aktv.top/AKTV/live/aktv3/4k/AKTV.m3u8$AKTV
翡翠台4K,http://php.jdshipin.com/TVOD/iptv.php?id=fct4$jdshipin
